WHISKY,PRESENTER,DATE,AGE,PRICE,SIZE,ABV,$/1.5 oz,ORIGIN,AMOUNT,STATUS,Andrew,Ash,Jeremy,Johnathan,Joss,Luke,Marian,Mike H.,Richard,Scott,Stefan,Steve,John,Miles,Murilo,Hussey,Max,Alex W,Derek,Susan,Len,Paul,Dan,Ashleigh,Don,Melissa,Phil,Dave,Seb,Nick,Chris,JP,Mike A.
Knappogue Castle,Ash,23/3/2017,12,75.00,750,40,5,Ireland,0.6,OWNED,85,85,,,83,,81,82,,,,80,,,83,,,,,,,,,,,,,,,,,,
Royal Brackla,Steve,23/2/2017,12,100.00,750,40,6,Highland,0.6,OWNED,84,76,74,,76,77,,75,,,,75,,,,,,,,,,,,,,,,,,,,,
Glenfiddich Rich Oak,Joss,23/2/2017,14,68.00,750,40,5,Speyside,0.7,OWNED,75,74,74,,77,79,,73,,,,74,,,,,,,,,,,,,,,,,,,,,
Macallan Double Cask,Mike,27/4/2017,12,100.00,750,40,6,Speyside,,OWNED,,90,,,85,84,,83,,,,81,,,,,,,,,,,,,,,,,,,,,
Ancnoc Vintage 2001,?,25/5/2017,15,120.00,700,46,8,Speyside,0.5,OWNED,32,78,,71,79,,,72,65,,,70,,78,,,,,,,,,,,,,,,,,,,
Kilchoman Machir Bay,?,25/5/2017,NAS,100.00,700,46,7,Islay,0.5,OWNED,92,83,,75,85,,,76,80,,,78,,85,,,,,,,,,,,,,,,,,,,
Benriach 1998 Single Cask,CLUB (SS5),22/6/2017,15,288.00,750,47.2,18,Speyside,,OWNED,36,83,80,70,89,77,81,82,75,83,,81,,83,,,,,,,,,,,,,,,,,,,
Macallan Rare Cask,CLUB (SS5),22/6/2017,NAS,400.00,750,43,24,Speyside,,OWNED,89,89,84,88,90,89,74,91,82,90,,88,,81,,,,,,,,,,,,,,,,,,,
Longrow,?,27/7/17,NAS,90.00,700,26,6,Campbeltown,,OWNED,90,92,,90,90,89,,,,,,89,,,,,,,,,,,,,,,,,,,,,
Laphroaig Cairdeas Madeira Cask,?,27/7/17,10,80.00,750,51.6,5,Islay,,OWNED,81,84,80,84,80,78,,,,,,84,,,,,,,,,,,,,,,,,,,,,
Laphroaig Select,Richard,31/8/2017,NAS,78.00,750,40,5,Islay,,OWNED,,73,,,76,74,,,70,,,77,,,,,,,,,,,,,,,,,,,,,
Scapa Skiren,Scott,28/9/2017,NAS,80.00,750,40,5,Island,,OWNED,48,72,77,,79,78,,77,,83,,79,,,,,,,,,,,,,,,,,,,,,
Oban Distillers Edition,Jeremy,28/9/2017,15,120.00,750,43,8,Highland,,OWNED,83,84,83,,82,85,,86,,84,,84,,,,,,,,,,,,,,,,,,,,,
Signatory Vintage Rosebank,Joss,26/10/2017,10,220.00,750,43,14,Lowland,,RETIRED,33,77,66,70,77,61,,73,,52,,75,,,,,,,,,,,,,,,,,,,,,
Highland Park Valkyrie,Joss,26/10/2017,NAS,100.00,750,45.9,6,Island,,OWNED,63,81,80,80,81,84,,78,,86,,76,,,,,,,,,,,,,,,,,,,,,
Glenfiddich Project XX,Ash,26/10/2017,NAS,100.00,740,47,7,Speyside,,OWNED,87,84,83,67,83,82,,76,,87,,79,,,,,,,,,,,,,,,,,,,,,
Balblair 2005,Steve,30/11/2017,NAS,73.00,700,46,5,Highland,,OWNED,50,80,77,70,76,,,76,,75,,78,,,,,,,,,,,,,,,,74,,,,,
Chivas Regal,Ash,30/11/2017,12,105.00,1750,40,3,Blend,,OWNED,63,72,68,67,68,,,70,,66,,76,,,,,,,,,,,,,,,,68,,,,,
