"","WHISKY","PRESENTER","DATE","AGE","PRICE","SIZE","ABV","X..1.5.oz","ORIGIN","AMOUNT","STATUS","Individual","value","WHISKYNAME"
"565","Macallan","Mike","29/08/2013","12",93,750,43,6,"Speyside",0.5,"OWNED","Joss",75,"Macallan 12"
"566","Macallan Fine Oak","Jeremy","26/03/2015","15",140,700,43,9,"Speyside",NA,"OWNED","Joss",80,"Macallan Fine Oak 15"
"567","Nikka Taketsuru Pure Malt","Ash","31/03/2016","NAS",82,750,43,5,"Japan",0.2,"OWNED","Joss",80,"Nikka Taketsuru Pure Malt NAS"
"568","Oban","Seb","25/04/2013","14",110,750,43,7,"Highland",0,"REPLACE","Joss",77,"Oban 14"
"569","Oban Little Bay","CLUB (MTL)","25/02/2016","NAS",100,750,43,6,"Highland",0.3,"OWNED","Joss",79,"Oban Little Bay NAS"
"570","Strathisla","Seb","24/10/2013","12",57,750,43,4,"Speyside",0.2,"OWNED","Joss",74,"Strathisla 12"
"571","Tullibardine 500","Nick","25/09/2014","NAS",80,750,43,5,"Highland",0.5,"OWNED","Joss",78,"Tullibardine 500 NAS"
"572","Yamazaki","Richard","24/11/2016","12",120,700,43,8,"Japan",0.3,"OWNED","Joss",87,"Yamazaki 12"
"573","Yamazaki","CLUB (WS4)","22/12/2016","18",500,750,43,30,"Japan",NA,"OWNED","Joss",93,"Yamazaki 18"
"574","Mortlach Rare & Old","John","28/04/2016","NAS",100,750,43,6,"Speyside",0.5,"OWNED","Joss",76,"Mortlach Rare & Old NAS"
"575","Jura","CLUB (MTL)","27/02/2014","21",138,700,44,9,"Island",NA,"OWNED","Joss",83,"Jura 21"
"576","Smokehead Rock Edition","Scott","22/10/2015","NAS",100,1000,44,5,"Islay",0.3,"OWNED","Joss",71,"Smokehead Rock Edition NAS"
"577","Talisker Port Ruighe","Joss","28/05/2015","NAS",110,700,45,8,"Island",0,"REPLACE","Joss",82,"Talisker Port Ruighe NAS"
"578","Ardbeg","Ash","30/05/2013","10",100,1000,46,5,"Islay",0.4,"OWNED","Joss",82,"Ardbeg 10"
